,Title,Date,URL
0,How solid is Northern Rock without government protection?,2010-01-04T21:14:52Z,https://www.theguardian.com/business/2010/jan/04/northern-rock-guaranteed-deposit-protection
1,Morgan Stanley beats Goldman Sachs in mergers and acquisitions,2010-01-04T21:00:44Z,https://www.theguardian.com/business/2010/jan/04/mergers-and-acquisitions-morganstanley
2,Petrol engines will rule for at least another decade - top GM executive,2010-01-11T22:56:25Z,https://www.theguardian.com/business/andrew-clark-on-america/2010/jan/11/automotive-industry-generalmotors1
3,Gas storage scheme faces Tory council block,2010-01-11T20:40:00Z,https://www.theguardian.com/business/2010/jan/11/gas-storage-energy-security-supply
4,Kraft set for higher Cadbury bid as deadline looms,2010-01-18T22:20:00Z,https://www.theguardian.com/business/2010/jan/18/cadbury-takeover-bid-kraft-hershey
5,British Airways to train ground staff as cabin crew to beat strike,2010-01-18T21:05:48Z,https://www.theguardian.com/business/2010/jan/18/british-airways-staff-strike-break
6,More punches fly in Mitchells & Butlers barroom brawl,2010-01-25T20:50:22Z,https://www.theguardian.com/business/2010/jan/25/mitchells-butlers-joe-lewis
7,Stuyvesant Town gamble costs Church of England £40m,2010-01-25T20:50:00Z,https://www.theguardian.com/business/2010/jan/25/church-loses-40m-in-new-york
8,The £15m shopkeeper – golden hello for new M&S boss Marc Bolland,2010-02-01T21:11:10Z,https://www.theguardian.com/business/2010/feb/01/marks-spencer-marc-bolland-pay1
9,The London Stock Exchange's shakeup of bonds is welcome | Nils Pratley,2010-02-01T20:53:18Z,https://www.theguardian.com/business/2010/feb/01/london-stock-exchange-retail-bonds-rbs
10,Browne's Shakespearean tragedy,2010-02-08T20:58:04Z,https://www.theguardian.com/business/dan-roberts-on-business-blog/2010/feb/08/bp-lord-browne-book-ofgem-green-energy
11,"The government has the power, it could make us all pay into a green bank",2010-02-08T20:39:03Z,https://www.theguardian.com/business/2010/feb/08/government-energy-investment-bank
12,Peter Hain lends support for 'Robin Hood tax' on banks,2010-02-15T21:43:39Z,https://www.theguardian.com/business/2010/feb/15/peter-hain-robin-hood-tax
13,VT Group spurns Babcock bid,2010-02-15T21:36:08Z,https://www.theguardian.com/business/2010/feb/15/vt-rejects-babcock-bid
14,George Osborne's cut-price share plan is flawed,2010-02-22T21:22:08Z,https://www.theguardian.com/business/2010/feb/22/rbs-lloyds-shares-osborne
15,Time for talk at BA,2010-02-22T21:20:29Z,https://www.theguardian.com/business/2010/feb/22/viewpoint-british-airways-strike-vote
16,"Greece needs deeper cuts, says EU commissioner Olli Rehn",2010-03-01T22:58:13Z,https://www.theguardian.com/business/2010/mar/01/greece-deficit-eu-commissione-rehn
17,Greece puts bond sale on hold,2010-03-01T22:57:48Z,https://www.theguardian.com/business/2010/mar/01/greece-delays-bond-sale
18,Europe bars Wall Street banks from government bond sales,2010-03-08T21:36:45Z,https://www.theguardian.com/business/2010/mar/08/us-banks-european-bond-trading
19,Prudential chief says combined group will grow dramatically,2010-03-08T21:29:37Z,https://www.theguardian.com/business/2010/mar/08/prudential-aia-takeover
20,Cleaning up murky markets,2010-03-15T21:21:25Z,https://www.theguardian.com/business/2010/mar/15/viewpoint-fsa-takeovers-insider-dealing
21,Regulators demand detailed Lehman Brothers' papers from Ernst & Young,2010-03-15T21:17:46Z,https://www.theguardian.com/business/2010/mar/15/ernst-young-lehmans-frc-auditor
22,Ford's Alan Mulally got paid $17.9m and deserved it,2010-03-22T22:56:21Z,https://www.theguardian.com/business/andrew-clark-on-america/2010/mar/22/ford-alan-mulally
23,Tories talk not so tough on banks,2010-03-22T20:59:49Z,https://www.theguardian.com/business/2010/mar/22/viewpoint-cameron-banking-levy
24,Audit office slams RAF's private finance initiative nightmare,2010-03-29T23:05:11Z,https://www.theguardian.com/business/2010/mar/30/airtanker-air-force-pfi-audit-office
25,Consolation for mine executives in jail,2010-03-29T23:05:00Z,https://www.theguardian.com/business/cartoon/2010/mar/30/rio-tinto-china-trial
26,Toyota sees sales surge amid safety woes after slashing prices,2010-04-05T23:54:00Z,https://www.theguardian.com/business/2010/apr/05/toyota-sales-surge-in-march-2010
27,Toyota facing $16m fine,2010-04-05T23:52:18Z,https://www.theguardian.com/business/2010/apr/06/toyota-facing-16m-speeding-fine
28,"Ah, Mr Bond ...",2010-04-12T23:10:00Z,https://www.theguardian.com/business/cartoon/2010/apr/13/asda-andy-bond-quits
29,Shell fights shareholders' campaign for oil sands review,2010-04-12T20:29:33Z,https://www.theguardian.com/business/2010/apr/12/shell-oil-sands-shareholders-review-campaign
30,Ex-Lehman Brothers boss Dick Fuld denies using accounting 'gimmick',2010-04-19T23:28:56Z,https://www.theguardian.com/business/2010/apr/20/dick-fuld-lehman
31,Citigroup reports $4.4bn profit,2010-04-19T19:59:00Z,https://www.theguardian.com/business/2010/apr/19/banking-useconomy
32,Steep increase in firms at risk of insolvency,2010-04-26T23:05:03Z,https://www.theguardian.com/business/2010/apr/27/insolvencies-surge-begbies-traynor
33,Bank of Ireland refinancing signals partial recovery,2010-04-26T20:13:55Z,https://www.theguardian.com/business/2010/apr/26/bank-of-ireland-refinanced
34,Marc Bolland's to do list to revamp M&S,2010-05-03T18:51:55Z,https://www.theguardian.com/business/2010/may/03/marc-bolland-marks-spencer1
35,Why consolidation is airlines' only viable route,2010-05-03T18:29:12Z,https://www.theguardian.com/business/2010/may/03/airline-industry-mergers-acquisitions
36,"Gulf spill will change deep water operations across oil industry, says BP",2010-05-10T20:15:20Z,https://www.theguardian.com/business/2010/may/10/gulf-spill-change-industry
37,Lessons that Europe failed to learn,2010-05-10T20:09:00Z,https://www.theguardian.com/business/2010/may/10/debt-crisis-european-central-bank
38,Lloyd's of London warns of 'perfect storm' threat to insurance market,2010-05-17T23:05:07Z,https://www.theguardian.com/business/2010/may/18/lloyds-insurance-disasters-profit-warning
39,Hedge funds are quite big enough to look after themselves,2010-05-17T20:03:59Z,https://www.theguardian.com/business/dan-roberts-on-business-blog/2010/may/17/hedge-funds-european-ruling
40,Aid charity One calls for Italy to be expelled from G7,2010-05-24T23:05:04Z,https://www.theguardian.com/business/2010/may/25/one-bono-geldof-italy-expel-g7
41,Public spending axe to cut swathe through private sector,2010-05-24T20:06:00Z,https://www.theguardian.com/business/2010/may/24/public-spending-cuts-hit-suppliers
42,"Service sector left out in the cold as customers stay in, says CBI",2010-05-31T23:04:03Z,https://www.theguardian.com/business/2010/jun/01/service-sector-falters-cbi-survey
43,Jongleurs plans to raise curtain on six comedy venues,2010-05-31T23:04:02Z,https://www.theguardian.com/business/2010/jun/01/jongleurs-comedy-venues-standup
44,World Cup gives retailers a lift in May,2010-06-07T23:06:20Z,https://www.theguardian.com/business/2010/jun/08/retail-sales-world-cup-boost
45,North Sea oil rigs face tougher scrutiny after BP spill,2010-06-07T23:02:50Z,https://www.theguardian.com/business/2010/jun/08/huhne-environment-checks-oil-bp-deepwater
46,Markets braced as Greek credit rating cut to junk again,2010-06-14T23:14:19Z,https://www.theguardian.com/business/2010/jun/15/greece-credit-rating-junk-moodys
47,Investors backed Cowdery's Resolution plan - now they are stuck with it,2010-06-14T20:33:44Z,https://www.theguardian.com/business/2010/jun/14/resolution-float-viewpoint
48,Barclays' Bob Diamond chided by judge in Lehman Brothers trial,2010-06-21T23:32:58Z,https://www.theguardian.com/business/2010/jun/22/barclays-bob-diamond-called-evasive
49,David Cameron: we'll back euro changes,2010-06-21T22:42:04Z,https://www.theguardian.com/business/2010/jun/21/david-cameron-backs-euro-changes
50,CBI would benefit from breaking with tradition,2010-06-28T23:05:29Z,https://www.theguardian.com/business/2010/jun/29/cbi-benefit-breaking-with-tradition
51,Richard Lambert steps down early as CBI director general,2010-06-28T23:01:28Z,https://www.theguardian.com/business/2010/jun/29/richard-lambert-steps-down-cbi
52,BP must be cautious about doing deals with sovereign wealth funds,2010-07-05T20:17:48Z,https://www.theguardian.com/business/2010/jul/05/bp-caution-sovereign-wealth-funds
53,For Tesco the devil is in the statistical detail,2010-07-05T19:59:51Z,https://www.theguardian.com/business/2010/jul/05/tesco-terry-leahy-executive-pay-viewpoint
54,No real house price recovery likely in next five years,2010-07-12T23:05:13Z,https://www.theguardian.com/business/2010/jul/13/house-prices-no-recovery-five-years
55,Bank study shows quantitative easing boosted growth prospects,2010-07-12T23:01:10Z,https://www.theguardian.com/business/2010/jul/13/quantitative-easing-bankofenglandgovernor
56,US court frees Conrad Black on bail,2010-07-19T23:26:02Z,https://www.theguardian.com/business/2010/jul/20/us-court-frees-conrad-black
57,Goldtrail holidaymakers face long wait for refunds,2010-07-19T21:59:23Z,https://www.theguardian.com/business/2010/jul/19/goldtrail-refunds-holidaymakers-long-wait
58,BP sends Tony Hayward to Russia to appease US,2010-07-26T19:47:00Z,https://www.theguardian.com/business/2010/jul/26/tony-hayward-bp-russia-gulf-oil-spill
59,US consumers won't spend to aid European recovery,2010-07-26T19:44:18Z,https://www.theguardian.com/business/2010/jul/26/us-economy-consumer-spending
60,Bank profits surge and send markets soaring,2010-08-02T20:01:24Z,https://www.theguardian.com/business/2010/aug/02/bank-profits-surge-markets-soaring
61,HSBC sees China as main source of future profit,2010-08-02T20:00:55Z,https://www.theguardian.com/business/2010/aug/02/hsbc-china-profits
62,Letters: Royal Mail and regional loyalties,2010-08-09T23:06:19Z,https://www.theguardian.com/uk/2010/aug/10/royal-mail-regional-loyalty
63,"NHS funding should not be ringfenced, says citizens' jury",2010-08-09T23:03:18Z,https://www.theguardian.com/business/2010/aug/10/pricewaterhousecoopers-spending-cuts-deficit-research
64,Airport strikes shelved after Unite recommends improved pay deal,2010-08-16T23:39:56Z,https://www.theguardian.com/business/2010/aug/17/airport-strikes-unite-baa-agreement
65,Letters: Banks are failing the economy,2010-08-16T23:05:10Z,https://www.theguardian.com/business/2010/aug/17/banks-are-failing-the-economy
66,Greenpeace mobilises as firm strikes oil in Arctic,2010-08-23T20:26:11Z,https://www.theguardian.com/business/2010/aug/23/cairn-oil-strike-arctic-fears
67,Employers join forces to blow off government's immigration cap,2010-08-23T19:59:38Z,https://www.theguardian.com/business/2010/aug/23/employment-cbi-immigration-cap
68,Not much love lost between Wikipedia and WikiLeaks,2010-08-30T20:55:42Z,https://www.theguardian.com/business/andrew-clark-on-america/2010/aug/30/wikipedia-wikileaks
69,Global markets fall as investors are braced for poor US economic results,2010-08-30T19:10:00Z,https://www.theguardian.com/business/2010/aug/30/us-economy-downturn-markets-fall
